name,platform,coop_players,has_pvp,year,genre,free2play,url
Raft Premium Edition,PC,,No,2013,Simulation;Sandbox,No,https://example.com/games/raft-premium-edition
Castlevania,PC,,Yes,2011,Tactical;Shooter,No,https://example.com/games/castlevania
Bleach Ultimate Edition,PC;Xbox,,Yes,2003,Casual;Party,No,https://example.com/games/bleach-ultimate-edition
Endless Space Omega Edition 4,PC;Switch,,Yes,2026,Simulation;Sandbox,No,https://example.com/games/endless-space-omega-edition-4
Prison Architect Omega Edition 3,Xbox,4,No,2000,Survival;Sandbox,No,https://example.com/games/prison-architect-omega-edition-3
Marvel's Midnight Suns Deluxe Edition,Xbox,,Yes,2022,Tactical;Shooter,No,https://example.com/games/marvel-s-midnight-suns-deluxe-edition
Log Horizon Digital Edition,PC;PS5;Xbox,3,Yes,2003,Grand Strategy;Strategy,No,https://example.com/games/log-horizon-digital-edition
Gwent Omega Edition,PC;PS4;Xbox;Switch,2,No,2019,RPG;Action,Yes,https://example.com/games/gwent-omega-edition
Rise of Nations Final Edition,PC;PS5,,No,2015,Racing,Yes,https://example.com/games/rise-of-nations-final-edition
Black Desert Alpha Edition,PC;PS5;Xbox,,No,2014,4X;Strategy,Yes,https://example.com/games/black-desert-alpha-edition
Surviving the Aftermath Enhanced Edition,PS5;Xbox,4,No,2019,Survival;Horror,No,https://example.com/games/surviving-the-aftermath-enhanced-edition
Heretic Limited Edition,PC;Switch,,No,2021,RPG;Action,Yes,https://example.com/games/heretic-limited-edition
Insurgency Physical Edition,PC;PS5;Xbox,,No,2007,Strategy;RTS,Yes,https://example.com/games/insurgency-physical-edition
Gwent Omega Edition 2,PS5;Xbox,3,Yes,2013,MOBA;Strategy,No,https://example.com/games/gwent-omega-edition-2
Hold Your Own Special Edition,PC;PS5;Xbox;Switch,4,No,2026,Battle Royale;Shooter,No,https://example.com/games/hold-your-own-special-edition
Puzzle and Dragons First Edition,PC;PS4;Xbox,,No,2005,Survival;Sandbox,No,https://example.com/games/puzzle-and-dragons-first-edition
Subnautica Omega Edition 3,PC,,No,2003,4X;Strategy,No,https://example.com/games/subnautica-omega-edition-3
Tales of Zestiria Digital Edition,PS5;Xbox,,Yes,2012,Shooter;RPG,No,https://example.com/games/tales-of-zestiria-digital-edition
Shadowverse Limited Edition,PC;Xbox,,Yes,2013,Party;Action,No,https://example.com/games/shadowverse-limited-edition
Human Fall Flat Anniversary Edition,PC;Xbox,4,No,2026,Simulation;Sandbox,No,https://example.com/games/human-fall-flat-anniversary-edition
Miscreated Definitive Edition,PC;PS4;Xbox;Switch,4,No,2001,Sandbox,No,https://example.com/games/miscreated-definitive-edition
Binding of Isaac Omega Edition,PC;Switch,8,Yes,2012,RPG;Action,No,https://example.com/games/binding-of-isaac-omega-edition
Men of War Game of the Year Edition,PC;PS5,,No,2017,Party;Action,No,https://example.com/games/men-of-war-game-of-the-year-edition
Wuthering Waves Deluxe Edition,PC;Switch,,No,2016,RPG;Action,No,https://example.com/games/wuthering-waves-deluxe-edition
SD Gundam Complete Edition,PC,,No,2004,Puzzle;Adventure,No,https://example.com/games/sd-gundam-complete-edition
Wasteland Remastered,PC;Xbox,4,No,2013,Action;Adventure,No,https://example.com/games/wasteland-remastered
Forza Legendary Edition,PC;PS4;Xbox;Switch,4,No,2006,MOBA;Strategy,No,https://example.com/games/forza-legendary-edition
Spintires 3,PS5;Xbox,8,No,2006,MOBA;Strategy,Yes,https://example.com/games/spintires-3
Little Nightmares Complete Edition,PC;Xbox,4,Yes,2023,Party;Action,Yes,https://example.com/games/little-nightmares-complete-edition
Sleeping Dogs Special Edition,PC;Switch,2,No,2017,Strategy;RTS,No,https://example.com/games/sleeping-dogs-special-edition
Sekiro Game of the Year Edition,PC;PS4;Xbox,,No,2002,Party;Action,Yes,https://example.com/games/sekiro-game-of-the-year-edition
Tyranny Last Edition,PC;Switch,,No,2019,Grand Strategy;Strategy,No,https://example.com/games/tyranny-last-edition
Titan Quest,PC;PS4;Xbox,,No,2023,Simulation,No,https://example.com/games/titan-quest
That Time I Got Reincarnated Limited Edition,PC;PS4;Xbox,4,No,2016,Sports,Yes,https://example.com/games/that-time-i-got-reincarnated-limited-edition
FIFA Legendary Edition,PC,,Yes,2005,MOBA;Strategy,No,https://example.com/games/fifa-legendary-edition
Metroid Enhanced Edition,PC;Xbox,Many,Yes,2002,Battle Royale;Shooter,No,https://example.com/games/metroid-enhanced-edition
Planet Coaster Collector's Edition,PC;Xbox,6,No,2021,Puzzle;Adventure,No,https://example.com/games/planet-coaster-collector-s-edition
Mafia Omega Edition 4,PC;Switch,,No,2011,Tactical;Shooter,No,https://example.com/games/mafia-omega-edition-4
Warframe Standard Edition,PC;PS5;Xbox;Switch,4,No,2023,Racing,No,https://example.com/games/warframe-standard-edition
Gears Tactics 3,PS5;Xbox,4,No,2020,Sandbox,No,https://example.com/games/gears-tactics-3
Gundam ZZ Collector's Edition,PC;Switch,8,No,2007,Grand Strategy;Strategy,No,https://example.com/games/gundam-zz-collector-s-edition
Offworld Trading Company 2,PC;Switch,4,No,2008,Puzzle;Adventure,Yes,https://example.com/games/offworld-trading-company-2
H1Z1 Special Edition,PC;PS5,,No,2006,Party;Action,Yes,https://example.com/games/h1z1-special-edition
Evolve Deluxe Edition,PC;Switch,3,No,2017,RPG;Action,No,https://example.com/games/evolve-deluxe-edition
Gwent Omega Edition 3,PC;PS5,6,No,2021,Grand Strategy;Strategy,No,https://example.com/games/gwent-omega-edition-3
Cities Skylines Ultimate Edition,PC;Xbox,6,Yes,2022,Sandbox,No,https://example.com/games/cities-skylines-ultimate-edition
Hell Let Loose Definitive Edition,PC;PS5;Xbox;Switch,4,Yes,2011,Strategy;RTS,No,https://example.com/games/hell-let-loose-definitive-edition
Last Epoch Enhanced Edition,PC;PS5;Xbox;Switch,4,No,2007,Grand Strategy;Strategy,No,https://example.com/games/last-epoch-enhanced-edition
Bleach 3,PC;PS5;Xbox;Switch,4,No,2004,Grand Strategy;Strategy,No,https://example.com/games/bleach-3
Ori Limited Edition,Xbox,,No,2021,Action;Platformer,No,https://example.com/games/ori-limited-edition
Sunset Overdrive Alpha Edition,PC;PS4;Xbox;Switch,,No,2018,Strategy;RTS,No,https://example.com/games/sunset-overdrive-alpha-edition
Party Animals Anniversary Edition,PC;PS4;Xbox;Switch,8,No,2015,Puzzle;Adventure,No,https://example.com/games/party-animals-anniversary-edition
Azur Lane Remastered,PC;Xbox,4,No,2019,Action;Platformer,No,https://example.com/games/azur-lane-remastered
Girls Frontline Special Edition,Xbox,,No,2000,Sports,No,https://example.com/games/girls-frontline-special-edition
Civilization,PC;PS4;Xbox,,No,2007,Action;Adventure,No,https://example.com/games/civilization
Jak and Daxter Omega Edition 4,PC;Switch,2,No,2014,Survival;Horror,No,https://example.com/games/jak-and-daxter-omega-edition-4
Elder Scrolls Online 4,PC,,Yes,2018,Sandbox,No,https://example.com/games/elder-scrolls-online-4
Invisible Inc Definitive Edition,PC;PS5;Xbox;Switch,4,No,2021,RPG;Action,Yes,https://example.com/games/invisible-inc-definitive-edition
Next Car Game Omega Edition 4,PS5;Xbox,Many,No,2025,Sandbox,No,https://example.com/games/next-car-game-omega-edition-4
Necromunda 2,PC,,Yes,2025,MOBA;Strategy,No,https://example.com/games/necromunda-2
Metal Gear Rising 5,PC;Switch,4,Yes,2019,Survival;Sandbox,No,https://example.com/games/metal-gear-rising-5
We Were Here Remastered,PC;PS4;Xbox,,No,2016,RPG;Action,No,https://example.com/games/we-were-here-remastered
Digital Devil Saga Game of the Year Edition,PC;PS5;Xbox,,Yes,2023,Tactical;Shooter,No,https://example.com/games/digital-devil-saga-game-of-the-year-edition
Gundam Seed Battle Assault Final Edition,PC;PS5,2,No,2015,Casual;Party,No,https://example.com/games/gundam-seed-battle-assault-final-edition
Wreckfest 3,PC;PS4;Xbox,2,No,2017,Racing,No,https://example.com/games/wreckfest-3
World of Demons Last Edition,PC;PS4;Xbox;Switch,,No,2005,Puzzle;Adventure,No,https://example.com/games/world-of-demons-last-edition
Captain of Industry Anniversary Edition,PC;Switch,4,No,2018,Action;Adventure,No,https://example.com/games/captain-of-industry-anniversary-edition
Ratchet and Clank 3,Xbox,,Yes,2004,Shooter;RPG,No,https://example.com/games/ratchet-and-clank-3
Bulletstorm Omega Edition 2,PC;PS5;Xbox;Switch,2,No,2019,RPG;Action,Yes,https://example.com/games/bulletstorm-omega-edition-2
Warhammer 40K Chaos Gate 4,PC;PS5;Xbox;Switch,4,Yes,2001,Shooter;Action,No,https://example.com/games/warhammer-40k-chaos-gate-4
Until Dawn Final Edition,PC,4,No,2000,Simulation,No,https://example.com/games/until-dawn-final-edition
Baldur's Gate Alpha Edition,Xbox,3,No,2000,Simulation;Sandbox,No,https://example.com/games/baldur-s-gate-alpha-edition
Company of Heroes Collector's Edition,PC;Xbox,,No,2024,Grand Strategy;Strategy,No,https://example.com/games/company-of-heroes-collector-s-edition
NBA 2K Ultimate Edition,Xbox,,Yes,2023,Sports,No,https://example.com/games/nba-2k-ultimate-edition
Mafia 2,PC;Switch,,No,2021,Action;Platformer,No,https://example.com/games/mafia-2
Empires Mod,PC;PS4;Xbox;Switch,,No,2005,RPG;Action,Yes,https://example.com/games/empires-mod
Last Shelter Survival Last Edition,PC;PS5,4,No,2006,Strategy;RTS,No,https://example.com/games/last-shelter-survival-last-edition
Limbo Omega Edition,PC;PS4;Xbox;Switch,,No,2010,Action;Platformer,No,https://example.com/games/limbo-omega-edition
Captain of Industry Special Edition,PC;PS5,,No,2007,Shooter;RPG,Yes,https://example.com/games/captain-of-industry-special-edition
Binding of Isaac 3,Xbox,3,No,2000,Racing,No,https://example.com/games/binding-of-isaac-3
Attack on Titan Omega Edition 2,PC;PS4;Xbox,6,Yes,2009,Puzzle;Adventure,No,https://example.com/games/attack-on-titan-omega-edition-2
Northgard Omega Edition 5,PC;PS4;Xbox;Switch,,No,2010,Battle Royale;Shooter,No,https://example.com/games/northgard-omega-edition-5
Rise of Kingdoms Remake,PC;PS4;Xbox;Switch,6,No,2015,Survival;Sandbox,Yes,https://example.com/games/rise-of-kingdoms-remake
Men of War Enhanced Edition,PC,Many,Yes,2025,Sandbox,No,https://example.com/games/men-of-war-enhanced-edition
The Forest Limited Edition,PC,3,Yes,2009,Simulation;Sandbox,No,https://example.com/games/the-forest-limited-edition
World War Z Physical Edition,PC;Switch,Many,No,2012,4X;Strategy,No,https://example.com/games/world-war-z-physical-edition
Night Call Complete Edition,PC;PS5;Xbox,4,Yes,2020,Shooter;Action,No,https://example.com/games/night-call-complete-edition
Baldur's Gate Game of the Year Edition,PC;PS5;Xbox;Switch,4,Yes,2017,Battle Royale;Shooter,No,https://example.com/games/baldur-s-gate-game-of-the-year-edition
Age of Wonders Alpha Edition,PC;Xbox,Many,Yes,2001,Action;Adventure,Yes,https://example.com/games/age-of-wonders-alpha-edition
Castlevania 3,PS5;Xbox,2,No,2008,Strategy;Turn-Based,No,https://example.com/games/castlevania-3
Sol Cresta Omega Edition 3,PC;Switch,4,Yes,2011,Strategy;RTS,No,https://example.com/games/sol-cresta-omega-edition-3
Gloomhaven Enhanced Edition,PS5;Xbox,2,No,2023,Sports,No,https://example.com/games/gloomhaven-enhanced-edition
Log Horizon Remake,PC;PS4;Xbox,,No,2019,4X;Strategy,No,https://example.com/games/log-horizon-remake
Puzzle Quest 3,PC;Switch,6,Yes,2015,Puzzle;Adventure,No,https://example.com/games/puzzle-quest-3
That Time I Got Reincarnated Beta Edition,PC;Xbox,2,Yes,2020,Shooter;Action,No,https://example.com/games/that-time-i-got-reincarnated-beta-edition
Hold Your Own Definitive Edition,PC;PS5,,No,2017,Action;Adventure,Yes,https://example.com/games/hold-your-own-definitive-edition
Last Bible Game of the Year Edition,PC;Xbox,,Yes,2008,Party;Action,No,https://example.com/games/last-bible-game-of-the-year-edition
Satisfactory Definitive Edition,PC;PS5;Xbox;Switch,,Yes,2002,Puzzle;Adventure,No,https://example.com/games/satisfactory-definitive-edition
Surviosis Remake,PC,Many,No,2019,Racing,No,https://example.com/games/surviosis-remake
Accelate Omega Edition,PC;Switch,6,No,2026,4X;Strategy,No,https://example.com/games/accelate-omega-edition
Subnautica Beta Edition,PC;PS4;Xbox;Switch,,Yes,2009,Survival;Horror,No,https://example.com/games/subnautica-beta-edition
Saints Row Omega Edition,PS5;Xbox,,Yes,2005,RPG;Action,Yes,https://example.com/games/saints-row-omega-edition
Aetheris Anniversary Edition,PC;PS4;Xbox;Switch,,Yes,2013,Strategy;Turn-Based,Yes,https://example.com/games/aetheris-anniversary-edition
Motorstorm Last Edition,PC;PS4;Xbox,,Yes,2017,Battle Royale;Shooter,No,https://example.com/games/motorstorm-last-edition
XCOM Omega Edition 5,PC;PS5;Xbox,,No,2020,Racing,Yes,https://example.com/games/xcom-omega-edition-5
Gundam ZZ First Edition,PC;Switch,6,No,2024,Survival;Sandbox,No,https://example.com/games/gundam-zz-first-edition
SaGa Premium Edition,PC;PS4;Xbox,,Yes,2002,Shooter;RPG,No,https://example.com/games/saga-premium-edition
Iron Harvest Premium Edition,PC;Xbox,8,No,2022,Grand Strategy;Strategy,No,https://example.com/games/iron-harvest-premium-edition
SD Gundam Omega Edition 2,Xbox,3,No,2017,Simulation;Sandbox,No,https://example.com/games/sd-gundam-omega-edition-2
Smite Alpha Edition,PC;PS5,,Yes,2002,Simulation;Sandbox,No,https://example.com/games/smite-alpha-edition
Boom Beach Omega Edition 4,PC;PS5,4,No,2019,Strategy;RTS,Yes,https://example.com/games/boom-beach-omega-edition-4
Timberborn Anniversary Edition,PC;PS4;Xbox;Switch,4,Yes,2024,Shooter;Action,Yes,https://example.com/games/timberborn-anniversary-edition
Chrono Cross 5,PC;Switch,,Yes,2000,Shooter;Action,No,https://example.com/games/chrono-cross-5
Front Mission Premium Edition,PS5;Xbox,4,No,2013,Grand Strategy;Strategy,Yes,https://example.com/games/front-mission-premium-edition
Astroneer Special Edition,PC;PS5;Xbox;Switch,4,No,2002,Puzzle;Adventure,Yes,https://example.com/games/astroneer-special-edition
Persona 5 Strikers Deluxe Edition,Xbox,3,Yes,2011,Grand Strategy;Strategy,No,https://example.com/games/persona-5-strikers-deluxe-edition
Mordheim Omega Edition 5,PC;Xbox,6,No,2007,Grand Strategy;Strategy,Yes,https://example.com/games/mordheim-omega-edition-5
Overcooked Legendary Edition,PC;Switch,6,No,2005,Action;Adventure,No,https://example.com/games/overcooked-legendary-edition
Valheim Omega Edition,PC;PS4;Xbox;Switch,8,No,2015,Simulation;Sandbox,No,https://example.com/games/valheim-omega-edition
End of Nations Definitive Edition,PC;PS5;Xbox;Switch,,No,2007,Strategy;Turn-Based,No,https://example.com/games/end-of-nations-definitive-edition
Pokemon Unite 4,PC;PS5;Xbox;Switch,Many,No,2021,Strategy;Turn-Based,No,https://example.com/games/pokemon-unite-4
Scarlet Nexus Digital Edition,PC;Xbox,,No,2026,Sandbox,No,https://example.com/games/scarlet-nexus-digital-edition
Tales of Berseria Omega Edition 5,PC;PS5;Xbox,8,Yes,2020,Simulation;Sandbox,No,https://example.com/games/tales-of-berseria-omega-edition-5
Phoenix Point,PC;PS5,,Yes,2021,Strategy;RTS,No,https://example.com/games/phoenix-point
Fire Emblem Warriors,PS5;Xbox,,Yes,2012,Simulation;Sandbox,No,https://example.com/games/fire-emblem-warriors
XCOM Special Edition,PC;PS5;Xbox,,No,2025,Racing,No,https://example.com/games/xcom-special-edition
Sleeping Dogs Complete Edition,PC;Xbox,4,Yes,2011,Battle Royale;Shooter,No,https://example.com/games/sleeping-dogs-complete-edition
Flower Omega Edition 2,PC;PS5,6,No,2011,MOBA;Strategy,No,https://example.com/games/flower-omega-edition-2
Warhammer 40K Mechanicus Last Edition,PC;PS4;Xbox,4,No,2021,Action;Adventure,No,https://example.com/games/warhammer-40k-mechanicus-last-edition
WRC Omega Edition 4,PC;Switch,,No,2011,Casual;Party,Yes,https://example.com/games/wrc-omega-edition-4
Sable 3,PC;PS5,3,Yes,2004,Party;Action,No,https://example.com/games/sable-3
DayZ Beta Edition,PS5;Xbox,8,Yes,2016,Battle Royale;Shooter,No,https://example.com/games/dayz-beta-edition
Tell Me Why Deluxe Edition,PC;PS4;Xbox;Switch,,No,2007,4X;Strategy,No,https://example.com/games/tell-me-why-deluxe-edition
Hearts of Iron Digital Edition,PC;PS5;Xbox,3,Yes,2017,Sandbox,No,https://example.com/games/hearts-of-iron-digital-edition
Tales of Destiny Final Edition,PC;PS4;Xbox;Switch,,Yes,2001,Racing,No,https://example.com/games/tales-of-destiny-final-edition
Zombie Panic Remake,PS5;Xbox,Many,No,2021,Puzzle;Adventure,No,https://example.com/games/zombie-panic-remake
No Man's Sky 2,Xbox,,No,2012,Survival;Sandbox,Yes,https://example.com/games/no-man-s-sky-2
Etrian Odyssey Anniversary Edition,PC;Xbox,Many,Yes,2009,Shooter;RPG,No,https://example.com/games/etrian-odyssey-anniversary-edition
Star Citizen Beta Edition,PC;PS5;Xbox,,No,2005,Strategy;RTS,No,https://example.com/games/star-citizen-beta-edition
UFO Enemy Unknown Anniversary Edition,PC;PS4;Xbox,,Yes,2024,Action;Adventure,No,https://example.com/games/ufo-enemy-unknown-anniversary-edition
Fire Force Last Edition,Xbox,,Yes,2009,4X;Strategy,No,https://example.com/games/fire-force-last-edition
Killing Floor,PC;Switch,Many,No,2020,Survival;Horror,Yes,https://example.com/games/killing-floor
One Piece Bounty Rush Deluxe Edition,PC;Xbox,Many,No,2009,Strategy;RTS,No,https://example.com/games/one-piece-bounty-rush-deluxe-edition
Painkiller Enhanced Edition,PC;Xbox,4,No,2002,Survival;Horror,Yes,https://example.com/games/painkiller-enhanced-edition
Halo Anniversary Edition,PC,6,No,2001,RPG;Action,No,https://example.com/games/halo-anniversary-edition
Muramasa Standard Edition,Xbox,,Yes,2003,Simulation,No,https://example.com/games/muramasa-standard-edition
Cuphead Alpha Edition,PC;Xbox,4,No,2000,Racing,No,https://example.com/games/cuphead-alpha-edition
No Man's Sky Digital Edition,Xbox,4,No,2017,Shooter;Action,No,https://example.com/games/no-man-s-sky-digital-edition
Endless Space Ultimate Edition,PC;Switch,,Yes,2020,Action;Platformer,No,https://example.com/games/endless-space-ultimate-edition
Company of Heroes Omega Edition 2,PC;PS5,6,Yes,2017,Shooter;Action,No,https://example.com/games/company-of-heroes-omega-edition-2
Dragon Ball Legends 4,PC;PS5,3,No,2023,Grand Strategy;Strategy,No,https://example.com/games/dragon-ball-legends-4
Oxygen Not Included Definitive Edition,PC;PS5;Xbox;Switch,,Yes,2022,Shooter;Action,Yes,https://example.com/games/oxygen-not-included-definitive-edition
Colin McRae 5,PC;PS4;Xbox,4,No,2012,Simulation;Sandbox,No,https://example.com/games/colin-mcrae-5
DayZ Remastered,PC;PS4;Xbox;Switch,4,No,2009,Casual;Party,No,https://example.com/games/dayz-remastered
Blood Last Edition,PC;PS4;Xbox,4,No,2013,Casual;Party,No,https://example.com/games/blood-last-edition
Fire Force Special Edition,Xbox,,Yes,2010,MOBA;Strategy,No,https://example.com/games/fire-force-special-edition
SimCity Omega Edition 3,PC;Switch,,Yes,2010,Battle Royale;Shooter,Yes,https://example.com/games/simcity-omega-edition-3
Scarlet Nexus 3,PC,,Yes,2018,Strategy;Turn-Based,Yes,https://example.com/games/scarlet-nexus-3
Game of Thrones Conquest 4,PC;PS5;Xbox,4,No,2009,Sports,No,https://example.com/games/game-of-thrones-conquest-4
Party Animals Limited Edition,PC;PS5,3,Yes,2000,Sandbox,No,https://example.com/games/party-animals-limited-edition
Gundam Seed Battle Assault 2 Special Edition,Xbox,8,No,2015,4X;Strategy,No,https://example.com/games/gundam-seed-battle-assault-2-special-edition
Back 4 Blood 5,PC,4,No,2005,Action;Platformer,No,https://example.com/games/back-4-blood-5
Railroad Tycoon Deluxe Edition,PC;PS5;Xbox;Switch,8,Yes,2002,Action;Platformer,No,https://example.com/games/railroad-tycoon-deluxe-edition
Lost Ark 4,PC;Switch,,No,2024,Sandbox,No,https://example.com/games/lost-ark-4
Atlas Omega Edition 5,PS5;Xbox,4,No,2020,Party;Action,No,https://example.com/games/atlas-omega-edition-5
Live a Live 4,PC;PS4;Xbox;Switch,,Yes,2016,Simulation;Sandbox,No,https://example.com/games/live-a-live-4
Nikke Digital Edition,PC;PS5;Xbox,,Yes,2000,Shooter;RPG,No,https://example.com/games/nikke-digital-edition
Destruction Derby Remake,PC;Switch,,No,2021,Strategy;Turn-Based,No,https://example.com/games/destruction-derby-remake
Half-Life Omega Edition,PC;PS5,4,No,2024,Action;Adventure,No,https://example.com/games/half-life-omega-edition
Oxygen Not Included Enhanced Edition,PC;PS4;Xbox;Switch,,Yes,2009,Shooter;Action,No,https://example.com/games/oxygen-not-included-enhanced-edition
Gundam Seed Battle Chronicle 5,PC;PS5;Xbox,4,No,2016,Simulation;Sandbox,No,https://example.com/games/gundam-seed-battle-chronicle-5
Resident Evil Standard Edition,PC;PS5;Xbox;Switch,,No,2012,RPG;Action,No,https://example.com/games/resident-evil-standard-edition
World of Tanks Limited Edition,Xbox,4,No,2011,Puzzle;Adventure,No,https://example.com/games/world-of-tanks-limited-edition
No Man's Sky Alpha Edition,PS5;Xbox,4,No,2020,Sandbox,No,https://example.com/games/no-man-s-sky-alpha-edition
Uncharted Deluxe Edition,PC;PS4;Xbox;Switch,3,No,2011,Sandbox,No,https://example.com/games/uncharted-deluxe-edition
Tower of God Legendary Edition,PC;PS5;Xbox;Switch,2,Yes,2018,Action;Platformer,Yes,https://example.com/games/tower-of-god-legendary-edition
Panel de Pon Definitive Edition,Xbox,3,No,2007,Racing,No,https://example.com/games/panel-de-pon-definitive-edition
Dead by Daylight Deluxe Edition,Xbox,,No,2012,Action;Platformer,Yes,https://example.com/games/dead-by-daylight-deluxe-edition
Total War Omega Edition,PS5;Xbox,6,No,2002,Sports,No,https://example.com/games/total-war-omega-edition
Reckless Racing Anniversary Edition,PC;Xbox,4,No,2000,Racing,No,https://example.com/games/reckless-racing-anniversary-edition
Warhammer 40K Mechanicus Premium Edition,PC,,Yes,2003,Survival;Sandbox,No,https://example.com/games/warhammer-40k-mechanicus-premium-edition
Frostpunk Beta Edition,PC;PS5,3,No,2006,Survival;Horror,No,https://example.com/games/frostpunk-beta-edition
Snowrunner Omega Edition 3,Xbox,,No,2001,Tactical;Shooter,No,https://example.com/games/snowrunner-omega-edition-3
Spintires First Edition,PC;Xbox,4,Yes,2013,Racing,No,https://example.com/games/spintires-first-edition
Zombie Army Omega Edition 5,PC;PS4;Xbox;Switch,,No,2024,Grand Strategy;Strategy,No,https://example.com/games/zombie-army-omega-edition-5
Europa Universalis Remake,PC;Switch,4,No,2008,Puzzle;Adventure,No,https://example.com/games/europa-universalis-remake
Icarus Remake,PC;Xbox,,Yes,2022,Tactical;Shooter,No,https://example.com/games/icarus-remake
Axiom Ver 2,PC;PS4;Xbox;Switch,,No,2024,Tactical;Shooter,No,https://example.com/games/axiom-ver-2
